question,answer
 выберите правильный вариант притяжательной формы существительного: astana is this … new capital. ,country’s.
 выберите глагол в форме past continuous: ,was doing.
 вставьте глагол в соответствующей форме:  seeing nick enter the room i rose (greet) him. ,to greet
" прочитайте текст и ответьте на вопрос после текста: jonathan swift liked order in everything. all the people in his house, for example, had to shut the door behind them when they came into the room or left it. one day a maid servant came and asked him to let her visit her sister who lived ten miles away. swift not only agreed, but let her go there in his own carriage. the girl was so happy that she forgot to shut the door when she left the room. swift let her go, but about half an hour later he ordered one of the servant to ride after the carriage and tell the girl come back. the poor girl had to turn back. she asked him what he wanted. i only want you to shut the door, was his answer. now you may go to visit your sister. i wish you a pleasant journey. why did j. swift order the girl to come back? ",because he wanted to teach her discipline.
" выберите правильную форму глагола “to be”: last friday he … in astana ,…he?  ","wasn’t, was"
 найдите правильный вариант глагола:  i just … a postgraduate degree  in business and administration. ,have completed
 выберите правильный вариант: he explained that they … for us near the gate. ,would wait
 выберите правильную форму глагола в страдательном залоге: the patient (to take) to hospital last friday. ,was taken.
 найдите эквивалент: она должна прийти. ,she is to come. 
 закончите предложение:  a jack is an old name for ... ,a sailor
 синонимом слова “sad” является: ,dull. 
 выберите правильный вариант артиклей. kansas is situated in … central part of … usa. ,"the, the."
 выберите правильный вариант притяжательной формы существительного в единственном числе. ,actor’s voice.
 выберите правильную форму глагола they … married next week. ,are getting
 выберите правильную  форму глагола . there … any sugar on the table. ,isn`t
" выберите слово, в котором выделенная буква читается отлично от других. ",general 
 выберите правильный вариант переводa слова: неаккуратный ,untidy.
" выберите верное местоимение. please, wait for … . i’ll be ready in a minute. ",me.
 вставьте пропущенное местоимение: … artist has a great talent. ,this
 дополните предложение:  is there ... in the room? ,anybody
 найдите правильный вариант глагола:  i… a bit lonely these days ,am
 найдите правильный вариант сказуемого: i … to clean the carpet. ,am going. 
 выберите правильный вариант формы глагола: the best thing is … in the forest.   ,walking
 определите предложение с participle ii: ,i don’t know the words written on the blackboard.
 aнтонимoм  слова “joy”является : ,grief
 “to go ahead” означает:    ,двигаться вперед
 найдите предложение с фразовым глаголом:  ,it was cold so he put on his coat. 
 дополните фразу: to go to the lectures means ... them. ,to attend
 выразите одним словом: a person who travels by plane or by ship is a ... ,passenger. 
 найдите глагол от прилагательного black: ,to blacken.
 выберите правильный вариант множественного числа существительного: boy-friend ,boy-friends. 
 выберите верный вариант отрицания к данному предложению: he used to do everything his mother said. ,he didn’t use to do everything his mother said.
 вставьте глагол в соответствующей форме:  tell her what you would like her (do). ,to do.
" прочтите текст и ответьте на вопрос после текста: the famous composer rakhmaninov was also a very good pianist. when he was a small boy he was asked to play at a home party at their friends’ place. though he was only eight he was quite experienced in playing the piano and did it well. at that concert he was to play one of beethoven’s sonatas. it must be mentioned that there are several very long intervals in that sonata. in each of these intervals the boy took his hands off the keyboard and waited. during one of these intervals the old mother of the hostess came up to him and said, «my boy, why don’t you play anything that you know very well?»  why did the boy stop playing several times?  ",because the sonata had some long intervals
 найдите правильный вариант глагола: his only bad habit is that he … too loudly. ,talks
 найдите правильный вариант глагола. she fell ill because she … too hard. ,had worked
 укажите правильный вариант сказуемого: he said he … to london in may. ,would come.
 выберите правильный перевод предложения в страдательном залоге: фильм был снят в этом году. ,the film has been made this year.
 глагол to have употреблен в качестве модального в предложении: ,do you have to go to the market to buy fish or meat?
 выберите правильный вариант ответа:  what is the name of the oldest and best known public school for boys in great britain? ,eton
 синонимом слова “smart” является: ,bright.
 выберите правильное слово i don`t like …. music. ,–
 дополните предложение: the man standing at the window is … father. ,pavel and lena’s
 определите правильный вариант предложения со сказуемым  в present simple tense. ,it is very hot in summer.
 выберите правильную  форму глагола . there … some people in the park. ,are
" выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",heavy.
 обобщающим для данной группы слов является слово: ,water.
" найдите глагол, образованный при помощи префикса: ",reconstruct
 выберите верное местоимение: he has the habit of talking to … . ,himself 
" дополните предложение:  there is ... snow in the street, isn’t there? ",much
 выберите правильный вариант: could you tell me … has happened? ,what
 выберите правильную  форму глагола “to be”: it ... a nice fairy-tale. ,is.
 найдите правильный вариант перевода:      он не собирается идти домой. ,he isn’t going  to go home
 определите функцию герундия в следующем предложении: the meeting was planned for discussing and creating.  ,обстоятельство цели
 выберите нужный фразовый глагол: please … the light. this room is dark. ,turn on.
 дополните предложение: she ... from her illness. ,suffers
 дайте определение слову neighbour: ,a person who lives near you.
 дополните пословицу: a watched … never boils. ,pot.
" выберите слово с суффиксом, обозначающим процесс или результат действия: ",organization.
 выберите правильный вариант множественного числа существительного: fire-place ,fire-places. 
 выберите правильно построенное предложение: ,they thought i should be working in the garden at that moment.
 найдите эквивалент: ей следует приходить вовремя. ,she should come in time. 
 поставьте предложение в отрицательную форму: ann used to have a piano. ,ann didn’t use to have a piano.
 вставьте в предложение глагол в соответствующей форме: nick used (live) alone.  ,to live
 найти правильный вариант глагола. she told me she … a bad time with her husband. ,was having
 найдите правильный вариант глагола. it was a firm that i … of. ,had never heard 
 найдите правильный вариант глагола. there must be a mistake: the hotel . . . by my wife. ,was paid
 выберите предложение с participle i: ,standing on the bridge he watched the boats. 
" прочитайте текст, выберите правильный ответ на вопрос: mark twain once said, “when i was a boy of 14, i thought that my father was the most ignorant of all men. but when i got to be 21, i was surprised at how much the old man had learned in seven years.” what did mark twain think about his father? ",he knew very little.
 дополните предложение.  in the house of commons the members sit … . ,on two sides of the hall
 выберите предлог противоположный предлогу: up. ,down.
" выберите слово, близкое по значению: small. ",little.
 дополните предложение: … weather is fine and … sun is shining brightly today. ,the | the
 выберите правильное слово.   this is the … dress. ,lady’s
 выберите правильную  форму глагола . there… a lot of bread on the table. ,is 
" выберите слово, в котором выделенная буква читается отлично от других слов: ",catch.
 к теме село относится слово: ,wheat. 
 выберите правильный английский эквивалент данной пословицы: плохая молва летит на крыльях. ,bad news travels fast.
 выберите правильный вариант перевода слова: перестройка ,reconstruction.
 выберите верное местоимение: be careful! they are looking at …  . ,us. 
 выберите правильный вариант местоимения: i have … to say. ,nothing.
 выберите вопросительное местоимение для выделенного слова: we usually have dinner at five. ,what time. 
" выберите правильную  форму глагола “to be”: running ... very good for your legs, for your heart and lungs. ",is.
" определите, чем является подчёркнутое слово: thank you for coming. ",герундием
" выберите правильный вариант фразового глагола “to put”: don ’t forget … your scarf …, please.  ",to put … on. 
 дайте определение слову crowd: ,a great number of people.
 образуйте прилагательное при помощи суффикса: interest ,ing
 выберите правильный вариант множественного числа существительного: our ... are ... . ,children / brothers.
 выберите правильно построенное предложение: ,aliya said that she would tries to come in time.
" вставьте модальный глагол: …i speak to sam, please? – just a minute. ",could
" найдите предложение, имеющее значение будущего времени: ",what is he going to do?    
 выберите верный вариант общего вопроса к предложению: nick used to be interested in collecting cactuses. ,did nick use to be interested in collecting cactuses? 
 определите название формы по приведенному примеру: to be going. ,continuous infinitive active.
" выберите предложение, в котором причастие употреблено в функции обстоятельства: ",while reading a book she was eating sweets.
" найдите правильный вариант глагола: in the year 2030, people … the same things as they do now. ",will eat
 найдите правильный вариант глагола. i … a nightmare when the alarm-clock rang and woke me up. ,was having
" найдите правильный вариант глагола. after everybody… a chance to say what they thought, we took a vote. ",had had
 выберите правильную форму глагола в страдательном залоге: tomorrow the bill (to pay). ,will be paid.
" прочитайте текст и выполните задание после текста: one day my cousin george and i decided to visit our granny in london. after lunch we all three decided to sail down the thames to have a look at the old ships. but suddenly it started raining, so we had to change our plans. we decided to visit madame tussaud’s instead. george hadn’t been there before. it was great fun seeing all the wax figures. there were some new ones i hadn’t seen before. after an hour granny felt a little tired and wanted to sit down and rest for a moment. george and i went to look at all the murderers in the cellar. we promised to come back in half an hour.     when we came back we saw two american tourists standing in front of granny and taking a photo of hers. we heard one of them say, “she is sure to look like a real woman!” you should have seen their faces a moment later when granny opened her eyes!  выберите заголовок к тексту: ",a case in the museum. 
 выберите подходящее слово.  the whispering gallery is remarkable for its … . ,acoustics
 выберите антоним слова: harmful. ,useful.
 дополните предложение: never cross … street when … light is red. ,the | the
 множественное число существительного к слову: a watch. ,watches. 
 дополните предложение: it was … new coat. ,victor nicolaevich’s
 выберите правильный вариант сказуемого. we … to watch a new film. ,are going.
 окончание читается отлично от других в слове: ,developed.
 закончите фразеологизм: … hurts more than truth. ничто не ранит больнее правды. ,nothing.
" выберите верное местоимение. hello, tom. have … seen pete? ",you. 
 выберите правильный вариант местоимения: there is … in the room. – who? ,somebody. 
 выберите вопросительное местоимение для выделенного слова: they are usually at home in the evening. ,where. 
 выберите правильную  форму глагола “to be”: ... you a teacher? ,are.
 выберите правильно построенное предложение: ,he said that he would return tomorrow.
 выберите правильный вариант сказуемого: there … several beautiful parks in this city. ,are
 определите функцию инфинитива в следующем предложении: i’m sure he will be the last to leave. ,дополнение 
 синонимом слова shut является: ,close.
" выберите фразовый глагол со значением ""выходить"": ",get out.
 переведите “to go on hikes”  ,ходить в поход
 выразите одним словом: you can cross the river over it. ,bridge. 
 найдите правильный вариант сказуемого: he … his work tomorrow. ,will finish.
 вставьте нужную форму глагола: you must … a letter ,write
 выберите верный вариант отрицания к данному предложению: last summer i used to eat a lot of berries. ,i didn’t use to eat a lot of berries last summer.
 выберите предложение с герундием: ,thank you for ringing me up! 
 выберите верное причастие: a ... fridge ,bought.
" прочитайте текст, выберите правильный ответ на вопрос: jane came home after her first day at school. “well, dear”, asked her mother, “what did they teach you?” “not much,” answered the child. “i have to go again.” what did her mother ask her? ",she asked what they had taught jane.
 выберите значение приставки de-: ,противоположное значение
" образуйте новое слово от “ to eat “, выбрав верный суффикс: ",able
 найдите правильный вариант глагола. the burglars dropped a piece of paper with an address on it as they … out of the window. ,were climbing
 найдите правильный вариант глагола. she couldn’t find the book that i … her. ,had lent
 выберите правильную форму глагола в страдательном залоге: the window (to leave) open by somebody. ,has been left.
 выберите подходящее слово. from the earliest times the … of london depended upon its water-born trade. ,prosperity
" выберите слово, противоположное по значению: poor. ",rich.
 выберите правильное слово.  he was born in … small russian town. ,a
 выберите неисчисляемое существительное: ,botany.
 выберите притяжательную форму существительного в единственном числе. ,sister’s. 
 дополните предложение: he … not going to help his mother. he was too busy with his homework. ,was
" выберите слово, в котором выделенная буква читается отлично от других. ",gentle   
 aнтонимoм  слова “day”является : ,night
 выберите правильный вариант предлога: go … reading the story. i want to know its end. ,on.
 к теме село относится слово: ,harvest.
 дополните пословицу: live and … ,learn.
 выберите верное местоимение: i saw them . this is … cat . ,their 
 найдите правильный вариант глагола: the children … sometimes absolutely naughty. ,are
 выберите правильно построенное предложение: ,i hoped that i should find him at school.
 определите функцию инфинитива в следующем предложении: he forgot to do his homework when he was at home.  ,определение
 переведите “to be good at… ”  ,"хорошо разбираться, знать что-либо"
" найдите прилагательное, имеющее отрицательное значение: ",indefinite 
 вставьте нужное указательное местоимение в предложении: look! ... men in the street are my friends. ,these
 выберите правильный вариант вопросительного местоимения: by … is this book written? ,whom.
 выберите правильный вариант сказуемого: amos … a present to his mother. ,sent.
 найдите правильный вариант глагола:   `what … you … at?`  `a strange  bird. look! it’s quite near us.` ,are / looking
 выберите глагол в форме present perfect active: ,have done.
 выберите верный вариант общего вопроса к предложению: everything used to be different many years ago. ,did everything use to be different many years ago? 
 определите название формы по приведенному примеру: drinking. ,gerund.
" прочитайте текст, выберите правильный ответ на вопрос: charles has just entered school. “what is your name?” the teacher asked. “charles”, was the answer. “charles what?” the teacher questioned. “oh, that’s all right,” the boy said, “”just call me charles.” what has happened to charles? ",he has become a pupil.
 образуйте новое слово от  “hope” c помощью следующих суффиксов.   ,ful. 
 выберите правильную форму глагола в страдательном залоге: a delicious cake (to taste) by him now. ,is being tasted. 
 заменитe выделенное модальное выражение его эквивалентом:  the conference is to begin next tuesday ,must
 выберите правильный вариант перевода на английский язык: много деревьев было во дворе. ,many trees were in the yard. 
 найдите правильный вариант глагола. i went to see how she was and found her… ,crying
 выберите правильный ответ.  what is the capital of massachusetts? ,boston. 
 синонимом слова “remain” является: ,stay.
 дополните предложение: … finest  weather in this part of … country is in september. ,the | the
 найдите существительное в единственном числе. ,advice.
" укажите предложение, в котором “-s” является показателем притяжательного падежа. ",one boy’s mother made tasty  cookies.
 дополните предложение: my mother … going to clean the floor. i want to help her. ,is
" выберите слово, в котором выделенная буква читается отлично от других слов: ",river.
 антоним слова “large” ,small
 закончите фразеологизм: war is the sports of … война – развлечение королей. ,kings.
 выберите правильный вариант переводa слова: неофициальный ,unofficial.
 выберите правильный вариант местоимения: “… is absent”-said kate to the teacher. ,nobody.
 выберите правильную  форму глагола “to be”: englishmen ... very fond of tea. ,are.
 вставьте правильный вариант вспомогательного глагола: it … snowing the whole day yesterday. ,was
 выберите правильно построенное предложение: ,the doctor said that he would come the next day.
 выберите правильный вариант сказуемого: there … eight new words in this lesson. ,are
 выберите фразовый глагол со значением «продолжать»: ,to go on
" выберите фразовый глагол со значением ""мыть посуду"": ",wash up.
 переведите “становиться известным”  ,to become known
" выберите верный вариант местоимений: how are … children? – fine, thanks. how are …? ",your / yours.
 дополните предложение: that’s the house ... we stayed in may. ,where
 выберите верный вариант сказуемого: how much meat … you … this week? ,have… bought.
 дополните предложение в present indefinite passive: many houses ... built in our city. ,are
 выберите верный вариант общего вопроса к предложению: my father used to be a scientist. ,did my father use to be a scientist? 
 образуйте форму participle 2 от глагола lose: ,lost.
" прочитайте текст и выберите подходящий заголовок:    after the war of independence the usa needed a capital city. it was difficult to choose it because different cities in different parts of the country wanted to be the nation’s capital. in the end it was decided to build a new city. in 1791 george washington, the first president, chose the place where the city now stands. he thought it was a good place because the potomac river was large enough for ships to come as far as the site of the city. the land round the city was called the district of columbia, after christopher columbus; and the city on it was named washington, in honour of the country’s first president.   ",from the history of the capital. 
" образуйте новое слово от “ accept “, употребив верный суффикс: ",acceptable
 задайте вопрос к выделенному слову:  he usually goes to the seaside in summer. ,what does he usually do in summer?
 выберите правильный модальный глагол: you … open the window. it is stuffy here. ,should.
 в данном предложении герундий является: i enjoy reading fantastics. ,дополнением.
 вставьте глагол в соответствующей форме: i didn’t expect it (rain). ,to rain.
 выберите правильный ответ на вопрос: what is the capital of georgia? ,atlanta.
 выберите правильное слово  julia was a bit … about travelling by ship because she’d seen the film «titanic». ,nervous
 дополните предложение: … flat is nice but … bathroom is too small. ,the | the
 существительное во множественном числе. ,cliffs 
 выберите притяжательную форму существительного во множественном числе. ,fans’.
 вставьте  правильную форму глагола  watch out!  you … knock the vase over. ,are going to
 выберите верное местоимение. my father gave me that book … . ,himself.
 вставьте пропущенные местоимения: … book is more interesting than … one.   ,"this, that"
 выберите правильный вариант: … is that man in a green suit? i don’t know … ,who / him
 найдите правильный вариант глагола: what size … your shoes ? ,are
 выберите нужный вариант вспомогательного глагола. we … writing a composition now. ,are.
 найдите правильную форму сказуемого: there … a sports center in moscow. ,is
 выберите правильный вариант.  i like … . ,drawing.
 выберите предложение с participle i: ,mr. marat listened to the girls singing kazakh folk songs. 
 выберите правильный вариант ответа:  where does the president of the usa live and work? ,in the white house
" выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",either.
 выберите правильный вариант предлога: i haven’t read this newspaper yet. i only looked it …. ,through.
 переведите “to do the shopping ”  ,делать покупки
 выразите одним словом: a stopping place for trains is a ... ,station.
 выберите лишнее слово в данной группе слов: ,aunt. 
" выберите правильный английский эквивалент данной пословицы: где хотенье, там и уменье. ",where there is a will there is a way. 
 закончите предложение:  the weather was ... . ,bad. 
 выберите глагол в форме future-in-the-past: ,would continue. 
 выберите правильную форму глагола в страдательном залоге: the pupils (to ask) by the teacher at every lesson. ,are asked.
 определите название формы по приведенному примеру: to have gone. ,perfect infinitive active.
  образуйте новое слово от “real” c помощью следующих суффиксов.  ,ist.
 найдите правильный вариант глагола. i think i … the report next monday. ,won’t  finish
 найдите правильный вариант глагола. he was tired. he … 5 km. ,had skied
 замените выделенное модальное выражение его эквивалентом: i was able to speak english well ,could
 задайте общий вопрос к предложению: my brother used to be a taxi-driver. ,did my brother use to be a taxi-driver?
" прочитайте текст и выполните задание после текста: mr. nelson wanted to be elected sheriff in a new hampshire county. he went from farm to farm asking people to vote for him. mrs. marrow saw him coming up one day and reached for the broom. get off, you good-for-nothing loafer, she shouted. but mrs. marrow, said nelson. i have just come to ask you if you’ll vote for me for sheriff. sheriff! shouted mrs. marrow. your place is in the lockup, not in the sheriff’s office. you are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. get out of here before i take this broom to you. nelson decided to go. before climbing back into the car,he took out his notebook and wrote, after the name of marrow, one word: doubtful. закончите предложение: mr. nelson was ... ",... a candidate for sheriff.
 антонимом слова “rise” является: ,set. 
 выберите правильный вариант артиклей. … northern part of … state michigan has many spots. ,"the, the."
 выберите правильный вариант притяжательной формы существительного в единственном числе. ,reader’s hobby. 
 выберите правильный вариант сказуемого. there … many wild animals in australia. ,are.
 выберите  подходящий английский эквивалент: моя сестра собиралась сходить в театр вчера. ,my sister was going to pay a visit to the theatre yesterday.
 выберите слово со іі типом слога ,mat
 выберите верное местоимение. at … moment i was at home. ,that.
 выберите вопросительное местоимение для выделенного слова: i am interested in sports. ,what.
 найдите множественное число слова “a boy”: ,boys
 выберите правильную  форму глагола “to be”: my flat ... very comfortable. ,is.
 выберите правильное сказуемое: the train … at the station by 4 o’clock yesterday. ,had arrived
 дополните предложение в past indefinite passive:  the theatre ... built in 1970. ,was
 определите функцию инфинитива в следующем предложении: to smoke is bad for health.  ,подлежащее 
 выберите правильный ответ. the scottish lake in which there is supposed to be a monster is … ,loch ness
 выберите фразовый глагол со значением «заботиться»: ,to look after
 выберите определение к выражению to pay attention: ,to listen to somebody without interrupting.
 дайте определение слову hurry: ,to do something very quickly.
 выберите лишнее слово в данной группе слов: ,mug. 
" закончите фразеологизм: hear …, speak … слушай много, говори мало. ","much, little."
" образуйте прилагательное с противоположным значением от слова ""definite"":  ",indefinite. 
 выберите правильно построенное предложение: ,they knew that they would manage somehow.
 поставьте предложение в отрицательную форму: karen used to go swimming every day. ,karen didn’t use to go swimming every day.
 выделенное слово является participle 1 в предложении: ,she ate her supper watching a film on tv.
" прочитайте текст, выберите правильный ответ на вопрос: a very rich man asked a famous artist to draw something for him in his album. the artist did so, and asked for one hundred dollars. “why!” cried the rich man. “it took you only five minutes to do it!” “yes,” answered the artist. “but it took me twenty years to learn how to do it in five minutes.” why did the famous artist ask for money for his work? ",it had taken him twenty years to learn how to draw.
" образуйте новое слово “ победоносный “, употребив верный суффикс : ",victoriuos 
 дополните предложение: i think they know very (мало) english songs. ,few
 найдите правильный вариант глагола: … you often … your brother these days?  ,do . . . see
 найдите правильный вариант глагола. they stood under the shelter because it … . ,was raining
 выберите верный модальный глагол: he … go to the dentist because he has toothache. ,should
" переведите: придя домой, он сразу позвонил джейн. ","having come home, he called jane immediately"
" выберите слово, сходное по значению со словом quiet. ",calm.
 выберите правильный вариант артиклей. … white house is … home of …  president. ,"the, the, the."
 выберите существительное во множественном числе. ,knives.
 поставьте глагол в предложении в past simple tense. he … glad to see his friends’ victory in a football game last week. ,was.
 дополните предложение: what … you going to be when you leave school? ,are 
" выберите слово, в котором выделенная буква читается отлично от других. ",knight   
" найдите глагол, образованный при помощи префиксa: ",misdo
 выберите верное местоимение: the music was so loud that i had to shout to make … . ,myself
 найдите правильное местоимение: they believed … it was true. ,that. 
 дополните предложение существительным в притяжательном падеже do you know my…daughter? ,uncle’s
 выберите правильный вариант глагола:  mary … just …fresh newspaper to her father. ,has … brought 
 выберите правильный вариант перевода на русский язык: во дворе много деревьев. ,there are many trees in the yard. 
 определите функцию инфинитива в следующем предложении: i was the first to come. ,определение 
 выберите правильный вариант ответа:  what is the national emblem of england? ,rose
 найдите антоним к слову: “difficult” ,easy.
 выберите фразовый глагол со значением «записывать»: ,to put down
 найдите предложение с фразовым глаголом:  ,the girl looks after her little sister.
 выберите обобщающее слово для данной группы слов: ,shopping. 
 дайте определение слову expensive: ,costing a lot of money.
 поставьте глагол в предложении в past continuous tense: the children (to sleep) when their parents came home. ,were sleeping.
 дополните предложение в present indefinite passive:  the children ... by excellent teachers in our school.  ,are taught
" вставьте необходимое сочетание с модальным глаголом: you look tired. yes, i ... last night. ",couldn’t sleep
 задайте вопрос к предложению: they used to live in the same street.  ,did they use to live in the same street? 
" прочитайте текст и выполните задание после текста: mr. nelson wanted to be elected sheriff in a new hampshire county. he went from farm to farm asking people to vote for him. mrs. marrow saw him coming up one day and reached for the broom. get off, you good-for-nothing loafer, she shouted. but mrs. marrow, said nelson. i have just come to ask you if you’ll vote for me for sheriff. sheriff! shouted mrs. marrow. your place is in the lockup, not in the sheriff’s office. you are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. get out of here before i take this broom to you. nelson decided to go. before climbing back into the car,he took out his notebook and wrote, after the name of marrow, one word: doubtful. выберите заголовок к тексту: ",he wants to be a sheriff. 
 подберите подходящее по смыслу слово:  i… go to the cinema with my brother  ,often
 выберите правильный вариант местоимения: … is giving our secret information. the enemy knows about our plans. ,somebody
 найдите правильный вариант глагола: when … married? ,did you get
 выберите правильный вариант глаголов: dauren hoped they … before anybody started to look for them. ,would have come
 выберите предложение с герундием: ,travelling is very interesting in any season.
 выберите верное причастие: ... etiquette ,spoken.
 синонимом слова “fellow” является: ,comrade.
 выберите правильное слово where is … cat? ,the
 дополните предложение: the little … face was happy. ,girl’s
 выберите правильный вариант предложения в past simple tense. ,ahmed phoned me yesterday.
 дополните предложение: where … you going when you met your friend in the street yesterday? ,were
 выберите слово с ііi типом слога ,barn
 выберите правильный вариант переводa слова: несчастный ,unhappy.
 выберите верное местоимение: there is … milk in the bottle. ,some
 выберите правильный вариант множественного числа существительного: bench ,benches.
 найдите правильный вариант глагола:  what … your parents’ address last year ? ,was
 выберите правильное отрицательное предложение: you must forget about it. ,you mustn’t forget about it. 
 выберите правильный вариант сказуемого: there … no shops in this part of the town. ,are
 выберите правильный вариант.  a child stopped … . ,crying.
 выберите правильный вариант ответа.  what theatre was organized by w. shakespeare? ,globe theatre.
 выберите верное окончание для словосочетания: a bottle of... ,oil.
 выберите нужный фразовый глагол. i … the bus at furmonov street. ,get on.
 “безвредный” найдите правильный перевод: ,harmless
 закончите предложение: to come back means to ... ,return.
 закончите пословицу:  actions speak louder... ,... than words.
 найдите правильный вариант перевода: он не идет сейчас домой. ,he isn’t going home now. 
 найдите правильный вариант глагола:   peter just … me a new job. ,has offered
 поставьте глагол в предложении в present indefinite passive:  the boy (to say) to come to school in time. ,is said
 выберите предложение с past participle: ,the house built in 1789 was the oldest building in the town.
" прочитайте текст и выполните задание после текста: for the people who live along the banks of the st. lawrence river the arrival of the ice-breakers is a very important event each year. when the ice-breakers arrive everyone knows that spring will soon come and that long canadian winter is almost over. the slow movement of the ice-breaking ships up the river to montreal is reported over the radio and in the newspapers. whole families go on sunday excursions to the river bank where they spend hours watching the ship at work.    in march many ships gather in the gulf of st. lawrence, waiting for the signal telling them that the way to montreal is free. as soon as the signal is given, a race begins for the port. the winning ship is given a great welcome, and the captain receives a special prize. закончите предложение: the arrival of the ice-breakers means that ... ",... the long winter is almost over. 
 образуйте прилагательное при помощи суффикса: cloud ,y
" выберите верные местоимения. she saw me at school yesterday, but …was too busy to talk with … . ","i, her.      "
 выберите правильный вариант вопросительного местоимения: … of you speaks english? ,which.
 выберите правильный вариант глаголов: i was sure that they … (to arrive) in the evening. ,would arrive
 задайте специльный вопрос к предложению: i used to read a lot of books. ,when did i use to read a lot of books?
 выберите правильный вариант употребления инфинитива: ,my son is too young to marry. 
" выбери слово, противоположное по смыслу слову “enter”: ",leave. 
 выберите правильный вариант артиклей. they placed … box on … table. ,"the, the."
 выберите притяжательную форму существительного в единственном числе. ,grandmother’s bag. 
 дополните предложение: the child was glad. there … many animals in the zoo. ,were
 выберите правильный вариант сказуемого. they … to visit astana. ,are going. 
 выберите правильный вариант перевода слова: неважный ,unimportant.
 выберите верное местоимение. there are not … flowers in the vase. ,any.
 выберите неисчисляемoе существительнoе: ,water.
 выберите правильное отрицательное предложение: you must forget about it. ,you mustn’t forget about it.
 выберите предложение с герундием: ,i enjoyed watching tv.
 определите функцию инфинитива в следующем предложении: arman was the first to recover.  ,определение
 выберите верное причастие: the ... day ,following.
